iter	Passed	Remaining
778	3783	1073
779	3790	1069
780	3797	1064
781	3803	1060
782	3809	1055
783	3815	1051
784	3820	1046
785	3826	1041
786	3832	1037
787	3837	1032
788	3843	1027
789	3848	1022
790	3854	1018
791	3861	1014
792	3866	1009
793	3872	1004
794	3877	999
795	3882	995
796	3889	990
797	3894	985
798	3899	981
799	3905	976
800	3910	971
801	3915	966
802	3921	962
803	3927	957
804	3933	952
805	3938	947
806	3943	943
807	3948	938
808	3954	933
809	3959	928
810	3964	923
811	3969	919
812	3974	914
813	3979	909
814	3985	904
815	3990	899
816	3995	895
817	4001	890
818	4006	885
819	4011	880
820	4017	875
821	4022	871
822	4026	866
823	4032	861
824	4037	856
825	4042	851
826	4047	846
827	4052	841
828	4057	836
829	4062	832
830	4068	827
831	4073	822
832	4078	817
833	4084	813
834	4089	808
835	4095	803
836	4101	798
837	4105	793
838	4111	788
839	4115	783
840	4120	779
841	4126	774
842	4132	769
843	4137	764
844	4141	759
845	4147	754
846	4152	750
847	4157	745
848	4162	740
849	4166	735
850	4171	730
851	4176	725
852	4181	720
853	4186	715
854	4191	710
855	4196	705
856	4200	700
857	4205	696
858	4211	691
859	4216	686
860	4220	681
861	4226	676
862	4231	671
863	4236	666
864	4243	662
865	4248	657
866	4252	652
867	4257	647
868	4262	642
869	4266	637
870	4272	632
871	4277	627
872	4282	623
873	4287	618
874	4292	613
875	4297	608
876	4302	603
877	4307	598
878	4312	593
879	4317	588
880	4323	584
881	4329	579
882	4333	574
883	4340	569
884	4344	564
885	4349	559
886	4354	554
887	4359	549
888	4363	544
889	4368	539
890	4374	535
891	4379	530
892	4384	525
893	4388	520
894	4393	515
895	4398	510
896	4403	505
897	4408	500
898	4413	495
899	4418	490
900	4423	486
901	4428	481
902	4435	476
903	4445	472
904	4450	467
905	4455	462
906	4459	457
907	4465	452
908	4470	447
909	4475	442
910	4480	437
911	4485	432
912	4490	427
913	4495	422
914	4499	418
915	4504	413
916	4509	408
917	4514	403
918	4519	398
919	4524	393
920	4531	388
921	4536	383
922	4541	378
923	4547	374
924	4552	369
925	4557	364
926	4563	359
927	4569	354
928	4574	349
929	4580	344
930	4586	339
931	4591	335
